Date,BIRD ID,Weight
18/11/2008,4H-48727,44.7
21/11/2008,4H-48938,41.8
22/11/2008,4H-48930,43
22/11/2008,4H-39154,45.6
22/11/2008,4H-48967,46
22/11/2008,4H-48906,41.8
23/11/2008,4H-39182,49.9
23/11/2008,4H-48969,45.2
23/11/2008,4H-48970,39.6
23/11/2008,4H-48971,50.1
23/11/2008,4H-39197,45.7
23/11/2008,4H-48956,39.1
23/11/2008,4H-39140,47.9
24/11/2008,4H-48973,45.5
24/11/2008,4H-48714,40.6
24/11/2008,4H-48957,40.1
25/11/2008,4H-48976,39.1
25/11/2008,4H-48919,40
25/11/2008,4H-48704,46.8
25/11/2008,4H-48917,41.8
25/11/2008,4H-48918,43.8
25/11/2008,4H-39150,40
27/11/2008,4H-48930,41.9
27/11/2008,4H-48726,45.4
27/11/2008,4H-48902,43.1
27/11/2008,4H-48718,46.2
27/11/2008,4H-48979,41.7
29/11/2008,4H-39140,48.5
30/11/2008,4H-39151,46.6
30/11/2008,4H-39134,52.3
30/11/2008,4H-48904,47.6
30/11/2008,4H-39158,
02/12/2008,4H-48918,47.2
02/12/2008,4H-48919,43.6
02/12/2008,4H-48977,43.5
02/12/2008,4H-48704,49.2
02/12/2008,4H-48917,43.8
03/12/2008,4H-48967,44.4
03/12/2008,4H-48968,
03/12/2008,4H-48906,40.6
03/12/2008,4H-39182,49.8
03/12/2008,4H-39150,
04/12/2008,4H-48986,45.9
04/12/2008,4H-48987,45.5
04/12/2008,4H-48988,40.1
05/12/2008,4H-48990,
05/12/2008,4H-48991,40.6
05/12/2008,4H-48992,44.9
07/12/2008,4H-48717,41.4
07/12/2008,4H-48942,42.2
07/12/2008,4H-48716,46.6
09/12/2008,4H-48706,43.9
09/12/2008,4H-48721,45.1
09/12/2008,4H-39141,48.1
09/12/2008,4H-48944,46
11/12/2008,4H-39156,52.5
11/12/2008,4H-39172,47
11/12/2008,4H-39153,49.3
13/12/2008,4H-48916,40.9
13/12/2008,4H-39145,47.4
13/12/2008,4H-48709,47.7
13/12/2008,4H-48998,42.8
13/12/2008,4H-39136,44.8
14/12/2008,4H-48971,46.9
14/12/2008,4H-48715,38.7
14/12/2008,4H-48920,41.1
14/12/2008,4H-39185,44.4
14/12/2008,4H-48943,44.7
14/12/2008,4H-39176,42.5
15/12/2008,4H-49000,43.4
15/12/2008,4H-48800,41.8
17/12/2008,4H-48799,43
17/12/2008,4H-48798,40.2
17/12/2008,4H-48724,44.5
17/12/2008,4H-48797,46.1
17/12/2008,4H-48988,39.2
17/12/2008,4H-48796,43.3
19/12/2008,4H-48794,41.8
20/12/2008,4H-48793,43.6
20/12/2008,4H-48792,40.5
21/12/2008,4H-48791,37.7
21/12/2008,4H-48789,37.2
21/12/2008,4H-48788,38.9
21/12/2008,4H-48787,45.1
22/12/2008,4H-48785,39.7
22/12/2008,4H-48784,48.8
22/12/2008,4H-48783,36.4
23/12/2008,4H-48782,38
24/12/2008,4H-48951,40.7
24/12/2008,4H-48952,38.4
24/12/2008,4H-48953,43.4
24/12/2008,4H-39179,46.3
24/12/2008,4H-48950,46.9
26/12/2008,4H-48781,44
26/12/2008,4H-48780,44.5
26/12/2008,4H-48717,41.3
26/12/2008,4H-39132,43.8
26/12/2008,4H-48716,
27/12/2008,4H-48716,46.3
27/12/2008,4H-48942,43.2
29/12/2008,4H-48990,41.2
30/12/2008,4H-39172,44.1
30/12/2008,4H-48994,38.4
30/12/2008,4H-48777,42.3
30/12/2008,4H-48776,47.5
30/12/2008,4H-48775,38.1
31/12/2008,4H-48915,42.7
31/12/2008,4H-48988,37.7
31/12/2008,4H-48987,43.3
31/12/2008,4H-48989,40.3
31/12/2008,4H-48796,41
01/01/2009,4H-39145,45.4
02/01/2009,4H-48950,45.6
02/01/2009,4H-48953,41
03/01/2009,4H-48951,39.7
03/01/2009,4H-39153,45.6
04/01/2009,4H-48991,43.8
04/01/2009,4H-48992,45.3
06/01/2009,4H-48709,49.4
06/01/2009,4H-48996,41.8
06/01/2009,4H-39160,45.3
09/01/2009,4H-48990,42.6
09/01/2009,4H-48991,41.7
10/01/2009,4H-48992,43.2
10/01/2009,4H-48769,43.6
13/01/2009,4H-39143,42
15/01/2009,4H-48979,40.8
15/01/2009,4H-48726,45.2
15/01/2009,4H-48766,43.4
16/01/2009,4H-48722,42.4
22/01/2009,4H-48764,40.5
26/01/2009,4H-48997,45.5
26/01/2009,4H-48996,44.7
27/01/2009,4H-48709,50.4
01/02/2009,4H-48915,47.5
02/02/2009,4H-48796,47.3
02/02/2009,4H-48988,42.5
02/02/2009,4H-48989,45
04/02/2009,4H-48761,47.5
04/02/2009,4H-48991,43.3
04/02/2009,4H-48992,45.3
04/02/2009,4H-48760,41.6
04/02/2009,4H-48759,44.8
07/02/2009,4H-48954,40.5
07/02/2009,4H-39159,47.9
07/02/2009,4H-48728,45.4
07/02/2009,4H-48921,44.9
07/02/2009,4H-48727,49.4
08/02/2009,4H-48757,43.2
08/02/2009,4H-48764,42.1
08/02/2009,4H-39142,47.7
12/02/2009,4H-48712,49.7
12/02/2009,4H-48713,46.4
13/02/2009,4H-48756,52.4
13/02/2009,4H-39149,47.6
13/02/2009,4H-48932,45.3
13/02/2009,4H-48769,45.8
13/02/2009,4H-48719,50.8
14/02/2009,4H-48716,51.4
14/02/2009,4H-48717,46.1
14/02/2009,4H-48942,47.3
14/02/2009,4H-39132,46.9
16/02/2009,4H-48939,40.6
16/02/2009,4H-39194,46.4
16/02/2009,4H-48940,44.5
16/02/2009,4H-39136,46.5
16/02/2009,4H-48998,45.2
16/02/2009,4H-39178,46.7
16/02/2009,4H-48934,45
21/02/2009,4H-48959,44.6
21/02/2009,4H-48960,43.5
21/02/2009,4H-48933,43.9
22/02/2009,4H-39160,49.4
22/02/2009,4H-48969,48.1
22/02/2009,4H-48970,43.1
22/02/2009,4H-48715,44.2
22/02/2009,4H-48972,
24/02/2009,4H-48955,45
24/02/2009,4H-48937,45.3
24/02/2009,4H-48938,44.8
25/02/2009,4H-48957,45.1
25/02/2009,4H-48971,51.6
25/02/2009,4H-48714,43.6
25/02/2009,4H-39197,47
27/02/2009,4H-48979,44.5
27/02/2009,4H-48726,47.3
27/02/2009,4H-48902,44.2
02/03/2009,4H-48918,42.5
02/03/2009,4H-48917,42.4
02/03/2009,4H-48704,48.6
02/03/2009,4H-48978,42.8
02/03/2009,4H-48977,44.1
02/03/2009,4H-48919,40.8
04/03/2009,4H-48769,43.3
04/03/2009,4H-48719,48
04/03/2009,4H-39160,45.2
04/03/2009,4H-39156,52.7
04/03/2009,4H-48778,43.6
04/03/2009,4H-48994,42.7
05/03/2009,4H-39149,43
05/03/2009,4H-48713,42
06/03/2009,4H-48932,44.1
06/03/2009,4H-48963,40.6
06/03/2009,4H-48712,46.8
07/03/2009,4H-39194,46
07/03/2009,4H-48959,42.7
07/03/2009,4H-48939,39.6
07/03/2009,4H-48940,43.7
07/03/2009,4H-48960,42
07/03/2009,4H-48942,43
07/03/2009,4H-39132,43.4
07/03/2009,4H-48717,42.8
07/03/2009,4H-48716,46.7
09/03/2009,4H-39136,45.9
09/03/2009,4H-48998,42.2
10/03/2009,4H-48715,41.3
10/03/2009,4H-48933,42.6
10/03/2009,4H-48956,40.2
10/03/2009,4H-48714,42.6
11/03/2009,4H-48934,44.7
11/03/2009,4H-39178,46.3
13/03/2009,4H-48950,51.6
13/03/2009,4H-48952,41.3
13/03/2009,4H-48953,46.6
13/03/2009,4H-39179,46.7
15/03/2009,4H-39153,49.6
15/03/2009,4H-48995,48.3
16/03/2009,4H-48718,49.2
16/03/2009,4H-48912,48
17/03/2009,4H-48906,42.5
17/03/2009,4H-39182,48.6
17/03/2009,4H-48967,47.3
19/03/2009,4H-48953,44.4
19/03/2009,4H-39179,44.6
19/03/2009,4H-48950,48.9
